conformer_id,enthalpy,entropy,free_energy,total_energy
4.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
1.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
17.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
7.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
11.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
6.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
15.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
16.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
14.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
3.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
0.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
8.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
19.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
13.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
12.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
5.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
10.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
2.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
18.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
9.0,-43350731.98735838,284.78175651346425,-43435639.668062866,-43539293.210495844
