polymer_length,monomer_enthalpy,initiator_enthalpy,polymer_enthalpy,monomer_entropy,initiator_entropy,polymer_entropy,delta_h,delta_s
1.0,-43350731.98735838,-68435304.22772832,-111878465.38067652,284.78175651346425,358.1818133221764,478.9195592836628,-92429.16558982432,-164.04401055197786
2.0,-43350731.98735838,-68435304.22772832,-155333924.59758663,284.78175651346425,358.1818133221764,589.8239807529417,-197156.39514155686,-337.92134559616323
3.0,-43350731.98735838,-68435304.22772832,-198779702.5062733,284.78175651346425,358.1818133221764,695.7969314628613,-292202.31646984816,-516.7301513997079
4.0,-43350731.98735838,-68435304.22772832,-242225396.2545323,284.78175651346425,358.1818133221764,801.1695781161717,-387164.0773704797,-696.1392612598618
