conformer_id,enthalpy,entropy,free_energy,total_energy
4.0,-86790973.13423212,382.41508090284157,-86904990.1906033,-87177171.35003635
17.0,-86790973.13423212,382.41508090284157,-86904990.1906033,-87177171.35003635
15.0,-86790973.13423212,382.41508090284157,-86904990.1906033,-87177171.35003635
11.0,-86790973.13423212,382.41508090284157,-86904990.1906033,-87177171.35003635
8.0,-86790973.13423212,382.41508090284157,-86904990.1906033,-87177171.35003635
0.0,-86790973.13423212,382.41508090284157,-86904990.1906033,-87177171.35003635
3.0,-86790973.13423212,382.41508090284157,-86904990.1906033,-87177171.35003635
14.0,-86790973.13423212,382.41508090284157,-86904990.1906033,-87177171.35003635
19.0,-86790973.13423212,382.41508090284157,-86904990.1906033,-87177171.35003635
12.0,-86790973.13423212,382.41508090284157,-86904990.1906033,-87177171.35003635
5.0,-86790973.13423212,382.41508090284157,-86904990.1906033,-87177171.35003635
10.0,-86790973.13423212,382.41508090284157,-86904990.1906033,-87177171.35003635
9.0,-86790973.13423212,382.41508090284157,-86904990.1906033,-87177171.35003635
18.0,-86790973.1342295,382.4150798548873,-86904990.19028823,-87177171.35002846
13.0,-86790973.1342295,382.4150798548873,-86904990.19028823,-87177171.35002846
1.0,-86790973.1342295,382.4150798548873,-86904990.19028823,-87177171.35002846
6.0,-86790973.1343739,382.41507888614944,-86904990.19014381,-87177171.35002846
16.0,-86790973.1343739,382.41507888614944,-86904990.19014381,-87177171.35002846
2.0,-86790973.1343739,382.41507888614944,-86904990.19014381,-87177171.35002846
7.0,-86790973.13439491,382.41507878929065,-86904990.19013594,-87177171.35002846
